seed,episode,cluster_id,suite,task_id,cold_start,event_type,state_before,state_after,B_k_size,sigma_k,phi_k,tau_k,policy_version,probe_rounds,n,probe_round,probe_success_count,probe_failure_count,passed
1,16,libero_object_task9,libero_object,9,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,17,libero_goal_task9,libero_goal,9,False,first_exposure,U,U,0,0,0,0.8,0,0,,,,,
1,22,libero_goal_task3,libero_goal,3,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,23,libero_object_task2,libero_object,2,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,24,libero_object_task0,libero_object,0,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,25,libero_10_task5,libero_10,5,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,26,libero_spatial_task7,libero_spatial,7,True,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,28,libero_object_task5,libero_object,5,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,29,libero_goal_task0,libero_goal,0,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,40,libero_goal_task5,libero_goal,5,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,49,libero_object_task1,libero_object,1,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,52,libero_spatial_task6,libero_spatial,6,True,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,56,libero_goal_task1,libero_goal,1,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,67,libero_spatial_task8,libero_spatial,8,True,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,88,libero_10_task0,libero_10,0,False,first_exposure,U,U,0,0,0,0.8,0,0,,,,,
1,101,libero_spatial_task2,libero_spatial,2,True,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,130,libero_spatial_task4,libero_spatial,4,True,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,180,libero_goal_task2,libero_goal,2,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,188,libero_spatial_task9,libero_spatial,9,True,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,240,libero_spatial_task5,libero_spatial,5,True,first_exposure,U,U,0,0,0,0.8,0,0,,,,,
1,367,libero_goal_task6,libero_goal,6,False,first_training,I,I,20,15.0,5.0,0.8,1,1,20,1,15,5,False
1,392,libero_object_task1,libero_object,1,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,392,libero_object_task1,libero_object,1,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,422,libero_object_task8,libero_object,8,False,first_training,I,I,20,17.0,3.0,0.8,1,1,20,1,17,3,False
1,436,libero_10_task5,libero_10,5,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,436,libero_10_task5,libero_10,5,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,439,libero_goal_task7,libero_goal,7,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,439,libero_goal_task7,libero_goal,7,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,460,libero_object_task2,libero_object,2,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,460,libero_object_task2,libero_object,2,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,513,libero_object_task4,libero_object,4,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,513,libero_object_task4,libero_object,4,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,522,libero_spatial_task1,libero_spatial,1,False,first_training,I,M,20,19.0,1.0,0.8,1,1,20,1,19,1,True
1,522,libero_spatial_task1,libero_spatial,1,False,first_maturity,I,M,20,19.0,1.0,0.8,1,1,,,,,
1,547,libero_object_task0,libero_object,0,False,first_training,I,I,20,16.0,4.0,0.8,1,1,20,1,16,4,False
1,557,libero_object_task9,libero_object,9,False,first_training,I,I,20,14.0,6.0,0.8,1,1,20,1,14,6,False
1,571,libero_spatial_task0,libero_spatial,0,False,first_training,I,I,20,18.0,2.0,0.8,1,1,20,1,18,2,False
1,586,libero_goal_task4,libero_goal,4,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,586,libero_goal_task4,libero_goal,4,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,607,libero_goal_task9,libero_goal,9,False,first_training,I,M,20,19.0,1.0,0.8,1,1,20,1,19,1,True
1,607,libero_goal_task9,libero_goal,9,False,first_maturity,I,M,20,19.0,1.0,0.8,1,1,,,,,
1,612,libero_10_task2,libero_10,2,False,first_training,I,I,20,15.0,5.0,0.8,1,1,20,1,15,5,False
